PERMNO,date,NCUSIP,TICKER,PRC,RET,ewretd,sprtrn
11995,20140811,19109810,COKE,74.15000,0.011872,0.007578,0.002759
11995,20140812,19109810,COKE,74.17000,0.000270,-0.003680,-0.001637
11995,20140813,19109810,COKE,74.25000,0.001079,0.005094,0.006707
11995,20140814,19109810,COKE,73.90000,-0.004714,0.002516,0.004346
11995,20140815,19109810,COKE,74.25000,0.004736,-0.000417,-0.000061
11995,20140818,19109810,COKE,75.10000,0.011448,0.008573,0.008532
11995,20140819,19109810,COKE,75.90000,0.010653,0.003096,0.005001
11995,20140820,19109810,COKE,75.24000,-0.008696,-0.001683,0.002478
11995,20140821,19109810,COKE,75.17000,-0.000930,0.001526,0.002950
11995,20140822,19109810,COKE,74.60000,-0.007583,0.000203,-0.001993
11995,20140825,19109810,COKE,74.10000,-0.006702,0.002830,0.004788
11995,20140826,19109810,COKE,73.74000,-0.004858,0.004297,0.001051
11995,20140827,19109810,COKE,73.39000,-0.004746,0.000708,0.000050
11995,20140828,19109810,COKE,73.25000,-0.001908,-0.002420,-0.001690
11995,20140829,19109810,COKE,74.36000,0.015154,0.005008,0.003320
11995,20140902,19109810,COKE,76.51000,0.028913,0.001711,-0.000544
11995,20140903,19109810,COKE,75.59000,-0.012025,-0.001909,-0.000779
11995,20140904,19109810,COKE,75.91000,0.004233,-0.003332,-0.001534
11995,20140905,19109810,COKE,74.61000,-0.017126,0.002326,0.005036
11995,20140908,19109810,COKE,75.33000,0.009650,0.000711,-0.003073
11995,20140909,19109810,COKE,75.01000,-0.004248,-0.007138,-0.006545
11995,20140910,19109810,COKE,75.62000,0.008132,0.002361,0.003646
11995,20140911,19109810,COKE,76.04000,0.005554,0.001530,0.000882
11995,20140912,19109810,COKE,76.45000,0.005392,-0.005938,-0.005963
11995,20140915,19109810,COKE,76.26000,-0.002485,-0.008124,-0.000710
11995,20140916,19109810,COKE,76.85000,0.007737,0.002690,0.007484
11995,20140917,19109810,COKE,76.18000,-0.008718,0.000745,0.001296
11995,20140918,19109810,COKE,75.39000,-0.010370,0.001229,0.004891
11995,20140919,19109810,COKE,77.41000,0.026794,-0.005402,-0.000477
11995,20140922,19109810,COKE,77.12000,-0.003746,-0.012408,-0.008013
11995,20140923,19109810,COKE,77.02000,-0.001297,-0.005322,-0.005776
11995,20140924,19109810,COKE,76.85000,-0.002207,0.004422,0.007832
11995,20140925,19109810,COKE,75.51000,-0.017437,-0.011656,-0.016169
11995,20140926,19109810,COKE,75.74000,0.003046,0.005846,0.008576
11995,20140929,19109810,COKE,74.97000,-0.010166,-0.001785,-0.002547
11995,20140930,19109810,COKE,74.63000,-0.004535,-0.006146,-0.002786
11995,20141001,19109810,COKE,74.13000,-0.006700,-0.012712,-0.013249
11995,20141002,19109810,COKE,73.87000,-0.003507,0.003220,0.000005
11995,20141003,19109810,COKE,76.06000,0.029647,0.004715,0.011166
11995,20141006,19109810,COKE,76.06000,0.000000,-0.003943,-0.001565
11995,20141007,19109810,COKE,75.75000,-0.004076,-0.012744,-0.015126
11995,20141008,19109810,COKE,78.69000,0.038812,0.009491,0.017462
11995,20141009,19109810,COKE,77.02000,-0.021223,-0.019854,-0.020661
11995,20141010,19109810,COKE,78.59000,0.020384,-0.013075,-0.011451
11995,20141013,19109810,COKE,80.55000,0.024940,-0.007360,-0.016468
11995,20141014,19109810,COKE,82.55000,0.024829,0.002957,0.001579
11995,20141015,19109810,COKE,82.84000,0.003513,0.002835,-0.008100
11995,20141016,19109810,COKE,82.03000,-0.009778,0.011550,0.000145
11995,20141017,19109810,COKE,81.51000,-0.006339,0.003826,0.012884
11995,20141020,19109810,COKE,81.32000,-0.002331,0.008012,0.009143
11995,20141021,19109810,COKE,81.28000,-0.000492,0.013130,0.019574
11995,20141022,19109810,COKE,81.63000,0.004306,-0.009156,-0.007299
11995,20141023,19109810,COKE,81.98000,0.004288,0.010160,0.012303
11995,20141024,19109810,COKE,82.61000,0.007685,0.001939,0.007053
11995,20141027,19109810,COKE,83.08000,0.005689,-0.003802,-0.001502
11995,20141028,19109810,COKE,87.05000,0.047785,0.016573,0.011939
11995,20141029,19109810,COKE,86.96000,0.001838,-0.002079,-0.001385
11995,20141030,19109810,COKE,89.29000,0.026794,0.003777,0.006230
11995,20141031,19109810,COKE,90.44000,0.012879,0.009149,0.011731
11995,20141103,19109810,COKE,91.31000,0.009620,-0.001684,-0.000119
11995,20141104,19109810,COKE,91.41000,0.001095,-0.005731,-0.002830
11995,20141105,19109810,COKE,90.65000,-0.008314,0.001039,0.005701
11995,20141106,19109810,COKE,90.82000,0.001875,0.002064,0.003776
11995,20141107,19109810,COKE,90.00000,-0.009029,0.003704,0.000350
11995,20141110,19109810,COKE,88.96000,-0.011556,0.001479,0.003120
11995,20141111,19109810,COKE,90.27000,0.014726,0.000563,0.000697
11995,20141112,19109810,COKE,91.19000,0.010192,0.002472,-0.000701
11995,20141113,19109810,COKE,90.08000,-0.012172,-0.006237,0.000530
11995,20141114,19109810,COKE,91.68000,0.017762,0.001909,0.000240
11995,20141117,19109810,COKE,90.62000,-0.011562,-0.004408,0.000735
11995,20141118,19109810,COKE,91.49000,0.009600,0.004302,0.005134
11995,20141119,19109810,COKE,91.68000,0.002077,-0.006283,-0.001501
11995,20141120,19109810,COKE,92.46000,0.008508,0.006491,0.001967
11995,20141121,19109810,COKE,92.49000,0.000324,0.004875,0.005237
11995,20141124,19109810,COKE,93.43000,0.010163,0.004896,0.002864
11995,20141125,19109810,COKE,92.39000,-0.011131,-0.000242,-0.001150
11995,20141126,19109810,COKE,93.37000,0.010607,0.002521,0.002806
11995,20141128,19109810,COKE,94.56000,0.012745,-0.013253,-0.002542
11995,20141201,19109810,COKE,86.35000,-0.086823,-0.013738,-0.006829
11995,20141202,19109810,COKE,88.22000,0.021656,0.005457,0.006384
11995,20141203,19109810,COKE,87.29000,-0.010542,0.005997,0.003765
11995,20141204,19109810,COKE,88.16000,0.009967,-0.004155,-0.001162
11995,20141205,19109810,COKE,89.34000,0.013385,0.002811,0.001665
11995,20141208,19109810,COKE,86.03000,-0.037049,-0.014337,-0.007257
11995,20141209,19109810,COKE,86.48000,0.005231,0.008816,-0.000238
11995,20141210,19109810,COKE,85.13000,-0.015611,-0.016870,-0.016351
11995,20141211,19109810,COKE,88.42000,0.038647,0.001748,0.004536
11995,20141212,19109810,COKE,84.57000,-0.043542,-0.010081,-0.016214
